"Sample","Num","Lett","Date","Time","Date.Time","C_ppm","Flush","Notes","Day","moles_C_P","mass_C_P","time_diff","mass_diff","rem_moles_C","rem_mass_C","adj_mass_diff","flux","time_hours","C_resp","C_resp_cum","time"
"1C","1","C",NA,"10:00 AM",2022-12-19 10:00:00,6997,12,NA,NA,0.000121005388033446,1.45339571566972,94.6333333333333,1.35722275349235,8.41249599599202e-06,0.10104248940786,1.36390885790793,0.014412562781697,144.25,2.02622148885234,13.1589691793498,34.7291666666667
"2A","2","A",NA,"10:00 AM",2022-12-19 10:00:00,7341,12,NA,NA,0.000126954488145423,1.52485035711468,94.6333333333333,1.42701565908975,8.82608733837036e-06,0.106010135021166,1.4338172901475,0.0151512922523512,144.25,2.11663765399838,12.2499409398496,31.6111111111111
"2B","2","B",NA,"10:00 AM",2022-12-19 10:00:00,7366,12,NA,NA,0.000127386835537282,1.5300432816383,94.6333333333333,1.43220858361337,8.85614484871762e-06,0.106371155777947,1.43901021467112,0.0152061664107551,144.25,2.12035170299686,12.3807161130724,31.6111111111111
"2C","2","C",NA,"10:00 AM",2022-12-19 10:00:00,7179,12,NA,NA,0.000124152877046178,1.49120020620165,94.6333333333333,1.39274235723388,8.63131467132009e-06,0.103670720517226,1.39958731078245,0.0147895806000259,144.25,2.09229462098436,12.503287391017,31.6111111111111
"1A","1","A",0001-05-20,"10:00 AM",2023-01-05 10:00:00,1938,13,NA,54,3.35155698168956e-05,0.402555509070733,23.25,0.302851358217301,2.33005820211984e-06,0.0279863290656614,0.309782956747496,0.0133239981396772,408,6.24033237037473,21.3772129663094,51.7291666666667
"1B","1","B",0001-05-20,"10:00 AM",2023-01-05 10:00:00,2015,13,NA,NA,3.48471997838208e-05,0.418549716603471,23.25,0.320091867635707,2.42263533398941e-06,0.0290982729965468,0.326936821184274,0.0140617987606139,408,6.36215508662747,21.0385208323099,51.7291666666667
"1C","1","C",0001-05-20,"10:00 AM",2023-01-05 10:00:00,2095,13,NA,NA,3.6230711437769e-05,0.435167075079043,23.25,0.335670641206556,2.51881936710065e-06,0.030253539418246,0.342587798906479,0.0147349590927518,408,5.94609446238756,19.1050636417374,51.7291666666667
"2A","2","A",0001-05-20,"10:00 AM",2023-01-05 10:00:00,2137,13,NA,NA,3.69570550560918e-05,0.443891188278719,23.25,0.341902150634895,2.56931598448406e-06,0.030860054289638,0.348992598298073,0.015010434335401,408,6.15299222390144,18.402933163751,48.6111111111111
"2B","2","B",0001-05-20,"10:00 AM",2023-01-05 10:00:00,2137,13,NA,NA,3.69570550560918e-05,0.443891188278719,23.25,0.337540094035057,2.56931598448406e-06,0.030860054289638,0.344933799133932,0.0148358623283412,408,6.12857386277563,18.509289975848,48.6111111111111
"2C","2","C",0001-05-20,"10:00 AM",2023-01-05 10:00:00,1992,13,NA,NA,3.44494401833106e-05,0.413772226041744,23.25,0.310536886512253,2.39498242446993e-06,0.0287661339003083,0.317713979157059,0.0136651173830993,408,5.80475838855754,18.3080457795746,48.6111111111111
"1A","1","A",0001-11-20,"4:10 PM",2023-01-11 16:10:00,1843,14,NA,60,3.18726497278321e-05,0.382822395880991,23.4166666666667,0.257361339390422,2.21583966280024e-06,0.0266144501898937,0.266083600874251,0.0113630007490783,150.166666666667,1.85358216656406,23.2307951328735,57.9861111111111
"1B","1","B",0001-11-20,"4:10 PM",2023-01-11 16:10:00,1780,14,NA,NA,3.07831343003479e-05,0.369736226081478,23.4166666666667,0.252376131847751,2.14009473672514e-06,0.0257046778828056,0.260535200951001,0.0111260584036015,150.166666666667,1.89118827541317,22.9297091077231,57.9861111111111
"1C","1","C",0001-11-20,"4:10 PM",2023-01-11 16:10:00,1915,14,NA,NA,3.31178102163855e-05,0.397778018509006,23.4166666666667,0.265670018628208,2.30240529260036e-06,0.0276541899694229,0.274854386680716,0.0117375538796035,150.166666666667,1.98764451567434,21.0927081574117,57.9861111111111
"2A","2","A",0001-11-20,"4:10 PM",2023-01-11 16:10:00,1979,14,NA,NA,3.42246195395441e-05,0.411071905289464,23.4166666666667,0.282495094084725,2.37935251908935e-06,0.0285784031067822,0.291433968022622,0.0124455787055924,150.166666666667,2.06148897916125,20.4644221429123,54.8680555555556
"2B","2","B",0001-11-20,"4:10 PM",2023-01-11 16:10:00,1954,14,NA,NA,3.37922721476852e-05,0.405878980765847,23.4166666666667,0.281871943141891,2.34929500874209e-06,0.0282173823500012,0.290493118813821,0.0124054000916934,150.166666666667,2.04536478670426,20.5546547625523,54.8680555555556
"2C","2","C",0001-11-20,"4:10 PM",2023-01-11 16:10:00,1951,14,NA,NA,3.37403904606622e-05,0.405255829823014,23.4166666666667,0.267954905418599,2.34568810750042e-06,0.0281740598591875,0.277500294227889,0.0118505463727212,150.166666666667,1.91580108699953,20.2238468665741,54.8680555555556
"1A","1","A",NA,"9:30 AM",2023-01-18 09:30:00,1521,15,NA,67,2.63040153206905e-05,0.315937528016814,18,0.198161999821197,1.82869892952749e-06,0.0219645028425547,0.206349950584989,0.0114638861436105,161.333333333333,1.84136887601023,25.0721640088837,64.7083333333333
"1B","1","B",NA,"9:30 AM",2023-01-18 09:30:00,1463,15,NA,NA,2.53009693715781e-05,0.303889943122024,18,0.192345924354747,1.75896550552184e-06,0.0211269346868228,0.200100650210402,0.0111167027894668,161.333333333333,1.7942494029075,24.7239585106306,64.7083333333333
"1C","1","C",NA,"9:30 AM",2023-01-18 09:30:00,1479,15,NA,NA,2.55776717023677e-05,0.307213414817138,18,0.193799943221359,1.77820231214409e-06,0.0213579879711627,0.201684636549456,0.0112047020305253,161.333333333333,1.85067531008373,22.9433834674954,64.7083333333333
"2A","2","A",NA,"9:30 AM",2023-01-18 09:30:00,1637,15,NA,NA,2.83101072189154e-05,0.340032697806393,18,0.21706424508716,1.96816577753879e-06,0.0236396391540184,0.225613216607734,0.0125340675893186,161.333333333333,2.01502480112282,22.4794469440351,61.5902777777778
"2B","2","B",NA,"9:30 AM",2023-01-18 09:30:00,1588,15,NA,NA,2.74627063308721e-05,0.329854565740105,18,0.213740773392046,1.90925305725816e-06,0.0229320384707277,0.221813197513668,0.012322955417426,161.333333333333,1.99475401106897,22.5494087736212,61.5902777777778
"2C","2","C",NA,"9:30 AM",2023-01-18 09:30:00,1529,15,NA,NA,2.64423664860853e-05,0.317599263864371,18,0.202524056421034,1.83831733283862e-06,0.0220800294847246,0.210524276391301,0.0116957931328501,161.333333333333,1.89940472011608,22.1232515866902,61.5902777777778
"1A","1","A",NA,"9:30 AM",2023-01-24 09:30:00,1492,16,NA,73,2.58024923461343e-05,0.309913735569419,18.1666666666667,0.185906697945462,1.79383221752467e-06,0.0215457187646888,0.194527873617392,0.0107079563459115,144,1.59637265924558,26.6685366681293,70.7083333333333
"1B","1","B",NA,"9:30 AM",2023-01-24 09:30:00,1471,16,NA,NA,2.54393205369729e-05,0.305551678969581,18.1666666666667,0.188191584735854,1.76858390883297e-06,0.0212424613289927,0.196350653839104,0.0108082928718773,144,1.57859968761677,26.3025581982474,70.7083333333333
"1C","1","C",NA,"9:30 AM",2023-01-24 09:30:00,1509,16,NA,NA,2.60964885725983e-05,0.313444924245478,18.1666666666667,0.191722773411913,1.81427132456081e-06,0.0217912128792998,0.200185099950859,0.0110193633000473,144,1.60013270380123,24.5435161712967,70.7083333333333
"2A","2","A",NA,"9:30 AM",2023-01-24 09:30:00,1701,16,NA,NA,2.9416916542074e-05,0.353326584586851,18.1666666666667,0.213533056411101,2.04511300402779e-06,0.0245638522913777,0.223251735183645,0.0122890863403841,144,1.78726708293859,24.2667140269737,67.5902777777778
"2B","2","B",NA,"9:30 AM",2023-01-24 09:30:00,1637,16,NA,NA,2.83101072189154e-05,0.340032697806393,18.1666666666667,0.212079037544488,1.96816577753879e-06,0.0236396391540184,0.220974588991572,0.0121637388435728,144,1.76304198679191,24.3124507604132,67.5902777777778
"2C","2","C",NA,"9:30 AM",2023-01-24 09:30:00,1623,16,NA,NA,2.80679926794745e-05,0.337124660073168,18.1666666666667,0.213740773392046,1.95133357174433e-06,0.0234374675302211,0.222318626573162,0.0122377225636603,144,1.72321313014874,23.8464647168389,67.5902777777778
"1A","1","A",0002-05-20,"11:00 AM",2023-02-05 11:00:00,2406,17,NA,85,4.16091129924927e-05,0.49976705615283,42,0.377006320414541,2.89273479582061e-06,0.0347446376326013,0.385540851104843,0.00917954407392483,289.5,2.87871568577131,29.5472523539006,82.7708333333333
