Sample,Date,Time,Date Time,C_ppm,Flush,Notes,Day
1A,3/2/2023,1:30 PM,03/02/23 13:30,1479,20,,110
1B,3/2/2023,1:30 PM,03/02/23 13:30,1432,20,,
1C,3/2/2023,1:30 PM,03/02/23 13:30,1479,20,,
2A,3/2/2023,1:30 PM,03/02/23 13:30,1611,20,,
2B,3/2/2023,1:30 PM,03/02/23 13:30,1627,20,,
2C,3/2/2023,1:30 PM,03/02/23 13:30,1555,20,,
1A,3/8/2023,12:00 PM,03/08/23 12:00,631,21,,116
1B,3/8/2023,12:00 PM,03/08/23 12:00,592,21,,
1C,3/8/2023,12:00 PM,03/08/23 12:00,584,21,,
2A,3/8/2023,12:00 PM,03/08/23 12:00,661,21,,
2B,3/8/2023,12:00 PM,03/08/23 12:00,613,21,,
2C,3/8/2023,12:00 PM,03/08/23 12:00,624,21,,
1A,3/9/2023,2:00 PM,03/09/23 14:00,1654,21,,117
1B,3/9/2023,2:00 PM,03/09/23 14:00,1625,21,,
1C,3/9/2023,2:00 PM,03/09/23 14:00,1564,21,,
2A,3/9/2023,2:00 PM,03/09/23 14:00,1814,21,,
2B,3/9/2023,2:00 PM,03/09/23 14:00,1707,21,,
2C,3/9/2023,2:00 PM,03/09/23 14:00,1646,21,,
1A,3/15/2023,12:00 PM,03/15/23 12:00,620,22,,123
1B,3/15/2023,12:00 PM,03/15/23 12:00,635,22,,
1C,3/15/2023,12:00 PM,03/15/23 12:00,765,22,,
2A,3/15/2023,12:00 PM,03/15/23 12:00,584,22,,
2B,3/15/2023,12:00 PM,03/15/23 12:00,596,22,,
2C,3/15/2023,12:00 PM,03/15/23 12:00,641,22,,
1A,3/16/2023,4:30 PM,03/16/23 16:30,1641,22,,124
1B,3/16/2023,4:30 PM,03/16/23 16:30,1643,22,,
1C,3/16/2023,4:30 PM,03/16/23 16:30,1718,22,,
2A,3/16/2023,4:30 PM,03/16/23 16:30,1672,22,,
2B,3/16/2023,4:30 PM,03/16/23 16:30,1662,22,,
2C,3/16/2023,4:30 PM,03/16/23 16:30,1649,22,,
1A,3/21/2023,11:00 AM,03/21/23 11:00,536,23,,129
1B,3/21/2023,11:00 AM,03/21/23 11:00,541,23,,
1C,3/21/2023,11:00 AM,03/21/23 11:00,612,23,,
2A,3/21/2023,11:00 AM,03/21/23 11:00,545,23,,
2B,3/21/2023,11:00 AM,03/21/23 11:00,542,23,,
2C,3/21/2023,11:00 AM,03/21/23 11:00,532,23,,
1A,3/22/2023,4:15 PM,03/22/23 16:15,1728,24,,130
1B,3/22/2023,4:15 PM,03/22/23 16:15,1698,24,,
1C,3/22/2023,4:15 PM,03/22/23 16:15,1702,24,,
2A,3/22/2023,4:15 PM,03/22/23 16:15,1761,24,,
2B,3/22/2023,4:15 PM,03/22/23 16:15,1703,24,,
2C,3/22/2023,4:15 PM,03/22/23 16:15,1657,24,,
1A,3/26/2023,4:50 PM,03/26/23 16:50,569,25,,134
1B,3/26/2023,4:50 PM,03/26/23 16:50,539,25,,
1C,3/26/2023,4:50 PM,03/26/23 16:50,534,25,,
2A,3/26/2023,4:50 PM,03/26/23 16:50,548,25,,
2B,3/26/2023,4:50 PM,03/26/23 16:50,553,25,,
2C,3/26/2023,4:50 PM,03/26/23 16:50,538,25,,
1A,3/27/2023,11:00 AM,03/27/23 11:00,1342,25,,135
1B,3/27/2023,11:00 AM,03/27/23 11:00,1270,25,,
1C,3/27/2023,11:00 AM,03/27/23 11:00,1229,25,,
2A,3/27/2023,11:00 AM,03/27/23 11:00,1292,25,,
2B,3/27/2023,11:00 AM,03/27/23 11:00,1277,25,,
2C,3/27/2023,11:00 AM,03/27/23 11:00,1230,25,,
1A,,,12/30/99 00:00,,,,-44877
1B,,,12/30/99 00:00,,,,
1C,,,12/30/99 00:00,,,,
2A,,,12/30/99 00:00,,,,
2B,,,12/30/99 00:00,,,,
2C,,,12/30/99 00:00,,,,
